epoch=000 train_loss=0.7695 val_loss=0.6998
epoch=001 train_loss=0.6883 val_loss=0.6625
epoch=002 train_loss=0.6974 val_loss=0.6383
epoch=003 train_loss=0.6838 val_loss=0.6454
epoch=004 train_loss=0.6834 val_loss=0.7394
epoch=005 train_loss=0.7053 val_loss=0.8169
epoch=006 train_loss=0.7015 val_loss=0.6452
epoch=007 train_loss=0.6846 val_loss=0.6815
epoch=008 train_loss=0.6917 val_loss=0.6714
epoch=009 train_loss=0.6879 val_loss=0.7142
epoch=010 train_loss=0.6913 val_loss=0.6505
epoch=011 train_loss=0.6847 val_loss=0.6450
epoch=012 train_loss=0.6853 val_loss=0.6433
epoch=013 train_loss=0.6987 val_loss=0.6405
epoch=014 train_loss=0.6819 val_loss=0.6978
epoch=015 train_loss=0.6924 val_loss=0.7164
epoch=016 train_loss=0.6913 val_loss=0.6625
epoch=017 train_loss=0.6844 val_loss=0.6441
epoch=018 train_loss=0.6856 val_loss=0.6573
epoch=019 train_loss=0.6864 val_loss=0.6562
epoch=020 train_loss=0.6835 val_loss=0.6675
epoch=021 train_loss=0.6850 val_loss=0.6432
epoch=022 train_loss=0.6913 val_loss=0.7166
epoch=023 train_loss=0.6951 val_loss=0.6621
epoch=024 train_loss=0.6879 val_loss=0.6871
epoch=025 train_loss=0.6852 val_loss=0.6472
epoch=026 train_loss=0.6825 val_loss=0.6594
epoch=027 train_loss=0.6883 val_loss=0.6483
epoch=028 train_loss=0.6848 val_loss=0.6669
epoch=029 train_loss=0.6800 val_loss=0.6550
